Timestamp,name,description,categories,location,status,sponsored,persona
31/07/2022 18:00:52,Let's go see some movies,I have a cineville card and am always looking for people to go see movies with. Weekday evenings work best for me.,"movies, cinema, cineville",amsterdam,ACTIVE,FALSE,cineasts
31/07/2022 18:02:32,Let's play basketball,New to the city and looking for a casual team. Ideally something like training once a week.,"basketball, sports, team",,ACTIVE,FALSE,athletes
31/07/2022 18:05:53,Let's get a hotdog at IKEA,I have to go to IKEA this weekend and it's always more fun with company. Maybe somebody else out there in need of a Billy?,"ikea, food, hotdog, furniture",,ACTIVE,FALSE,IKEA fans
31/07/2022 18:07:50,Let's figure out crypto,My mom asked me the other day if she should invest in bitcoin - I feel like I'm a bit late to this. Who wants to sit together and get nerdy about this?,"bitcoin, crypto, money, dip, investing",,ACTIVE,FALSE,crypto bros
31/07/2022 18:08:46,Let's do a potluck dinner,"Everybody prepares a dish and we all get together and eat. Easy, tasty, fun. Who's in?","dinner, potluck, food, eating",,ACTIVE,FALSE,foodies
31/07/2022 18:10:01,Let's organize a running dinner,The concept: Everybody prepares one dish and we move from house to house to taste them all. We start at mine with appetizers. Who wants to join?,"dinner, food, eating",,ACTIVE,FALSE,foodies
31/07/2022 18:13:04,Let's crash art gallery parties,Let's pretend to be rich and crash some art gallery parties. How difficult can it be?,"art, party, dancing",,ACTIVE,FALSE,crashers
31/07/2022 18:14:01,Let's be vegan for a week,"Let's share the recipes, the struggles, and support each other!","vegan, eating, food, support",,ACTIVE,FALSE,vegans
31/07/2022 18:17:22,Let's fix my terrible fashion style,I'll buy you lunch and coffees if you take me shopping and help me figure out how to dress better. It'll be fun. I hope.,"fashion, shopping, style",,ACTIVE,FALSE,fashionistas
31/07/2022 18:20:06,Let's find the best veggi ramen,"I absolutely LOVE ramen, but finding good vegetarian ramen is a bit of a challenge. Who wants to join me on a tasting mission?","ramen, food, eating, dinner",,ACTIVE,FALSE,foodies
31/07/2022 18:23:18,Let's read poems in nature,"I bring a book with poems, you bring some snacks, we contemplate life.","poems, reading, picnic, nature",,ACTIVE,FALSE,romantics
31/07/2022 18:25:32,Let's contemplate life over a beer,Where are we going? Where are we coming from? What do you see as your purpose? What is spirituality for you? Easier with a beer...,"beer, discussion, spirituality, contemplation",,ACTIVE,FALSE,nihilists
31/07/2022 18:28:01,Let's start a men's group,"""Hi my name is Joe and I'm a man"" - ""Hi Joe"". What would you expect from a men's group?","men, group, sharing, support",,ACTIVE,FALSE,men
31/07/2022 18:30:06,Let's become spiritual,I don't even know where to start but I feel like there's a bit of a void inside of me and in our society when it comes to spirituality. Who wants to explore that void with me?,"spirituality, god, religion",,ACTIVE,FALSE,frustrated atheists
31/07/2022 18:31:47,Let's organize a LAN party,Old-school but still the best way to play games together. Who's up for some Age of Empires II?,"lan, gaming, lan party",,ACTIVE,FALSE,gamers
31/07/2022 18:34:37,Let's go to a wedding as my +1,"I have an incredibly boring wedding to go to and my friends are all busy. You get lots of free food and drinks and some good people watching, I will be less bored. Win-win.","wedding, party, dinner",,ACTIVE,FALSE,singles
